ToPad;Continent;Country;Gender;Month;Number of Records;Sub type;Padded;Total;Type of Moving;viz
49;Asia;Oman;Female;February;1;First time for travelling;49;1;By themselves;Region
49;Asia;Other countries in Asia;Female;February;1;First time for travelling;49;2;By themselves;Region
49;Asia;Other countries in Middle East;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Philippines;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Saudi Arabia;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;February;1;First time for travelling;49;1;By themselves;Region
49;Asia;South Korea;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Sudan;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;February;1;First time for travelling;49;8;By themselves;Region
49;Asia;Turkey;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;United Arab Emirate;Female;February;1;First time for travelling;49;15;By themselves;Region
49;Asia;Vietnam;Female;February;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;January;1;First time for travelling;49;5;By themselves;Region
49;Asia;Cambodia;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;January;1;First time for travelling;49;40;By themselves;Region
49;Asia;Indonesia;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;January;1;First time for travelling;49;8;By themselves;Region
49;Asia;Kuweit;Female;January;1;First time for travelling;49;6;By themselves;Region
49;Asia;Laos;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Libea;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;January;1;First time for travelling;49;3;By themselves;Region
49;Asia;Myanmar;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Other countries in Asia;Female;January;1;First time for travelling;49;4;By themselves;Region
49;Asia;Other countries in Middle East;Female;January;1;First time for travelling;49;2;By themselves;Region
49;Asia;Philippines;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;January;1;First time for travelling;49;1;By themselves;Region
49;Asia;Saudi Arabia;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;South Korea;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Sudan;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;January;1;First time for travelling;49;12;By themselves;Region
49;Asia;Turkey;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;United Arab Emirate;Female;January;1;First time for travelling;49;15;By themselves;Region
49;Asia;Vietnam;Female;January;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Cambodia;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;July;1;First time for travelling;49;35;By themselves;Region
49;Asia;Indonesia;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;July;1;First time for travelling;49;1;By themselves;Region
49;Asia;Japan;Female;July;1;First time for travelling;49;7;By themselves;Region
49;Asia;Kuweit;Female;July;1;First time for travelling;49;4;By themselves;Region
49;Asia;Laos;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Libea;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Malaysia;Female;July;1;First time for travelling;49;4;By themselves;Region
49;Asia;Myanmar;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Oman;Female;July;1;First time for travelling;49;2;By themselves;Region
49;Asia;Other countries in Asia;Female;July;1;First time for travelling;49;2;By themselves;Region
49;Asia;Other countries in Middle East;Female;July;1;First time for travelling;49;3;By themselves;Region
49;Asia;Philippines;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Quata;Female;July;1;First time for travelling;49;12;By themselves;Region
49;Asia;Saudi Arabia;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Singapore;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;South Korea;Female;July;1;First time for travelling;49;1;By themselves;Region
49;Asia;Sudan;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Taiwan;Female;July;1;First time for travelling;49;7;By themselves;Region
49;Asia;Turkey;Female;July;1;First time for travelling;49;7;By themselves;Region
49;Asia;United Arab Emirate;Female;July;1;First time for travelling;49;11;By themselves;Region
49;Asia;Vietnam;Female;July;1;First time for travelling;49;0;By themselves;Region
49;Asia;Brunai;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Brunai;Female;June;1;First time for travelling;49;6;By themselves;Region
49;Asia;Cambodia;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Cambodia;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Hongkong;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Hongkong;Female;June;1;First time for travelling;49;40;By themselves;Region
49;Asia;Indonesia;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Indonesia;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Isarel;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Isarel;Female;June;1;First time for travelling;49;0;By themselves;Region
49;Asia;Japan;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Japan;Female;June;1;First time for travelling;49;12;By themselves;Region
49;Asia;Kuweit;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Kuweit;Female;June;1;First time for travelling;49;12;By themselves;Region
49;Asia;Laos;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Laos;Female;June;1;First time for travelling;49;1;By themselves;Region
49;Asia;Libea;Female;June;1;First time for travelling;49;;By themselves;Region
49;Asia;Libea;Female;June;1;First time for travelling;49;0;By themselves;Region
